term,estimate,std.error,statistic,p.value,conf.low,conf.high,estimator,spec,learner,z value,Pr(>|z|),yvar,constraint,instr
fit_morekids,-0.11831589689676109,0.02766768866401284,-4.276320235258889,1.9007693593751172e-5,-0.17254382796792475,-0.06408796582559742,tsls,structural,ols,NA,NA,workedm,TRUE,observed
instr,0.06933013824667378,0.001842758789669698,37.62301318834069,6.43470909770757e-309,0.06571838021944955,0.07294189627389801,tsls,first_stage,ols,NA,NA,workedm,TRUE,observed
D1,-0.11890515488987421,0.027502367614139538,-4.323451586355155,NA,-0.1728097954135877,-0.06500051436616072,ddml,structural,nnls,-4.323451586355155,1.536068588197224e-5,workedm,TRUE,observed
D1,-0.11942683933270039,0.027591063623782632,-4.328460872735555,NA,-0.17350532403531435,-0.06534835463008642,ddml,structural,custom_1,-4.328460872735555,1.501550017898444e-5,workedm,TRUE,observed
D1,-0.11966959621815855,0.02761959953103227,-4.332778108665284,NA,-0.1738040112989818,-0.06553518113733531,ddml,structural,custom_2,-4.332778108665284,1.4723948938309971e-5,workedm,TRUE,observed
D1,-0.11789554713363527,0.027493973729351126,-4.288050475867596,NA,-0.1717837356431635,-0.06400735862410706,ddml,structural,custom_3,-4.288050475867596,1.8024813883272188e-5,workedm,TRUE,observed
D1,-0.11495886250366028,0.027434469419915078,-4.190307483045762,NA,-0.16873042256669382,-0.06118730244062672,ddml,structural,custom_4,-4.190307483045762,2.785766885793904e-5,workedm,TRUE,observed
Z_resid,0.06958413492472408,0.00183513686114067,37.91768145372684,9.9652562036e-314,0.06598731567445301,0.07318095417499515,ddml,first_stage,nnls,NA,NA,workedm,TRUE,observed
Z_resid,0.06943015675349767,0.0018384469161996984,37.765657600285,3.05263698131e-311,0.06582684988368832,0.07303346362330702,ddml,first_stage,custom_1,NA,NA,workedm,TRUE,observed
Z_resid,0.06936178655472057,0.0018388798921017153,37.71958508690023,1.7226385849002e-310,0.06575763106370358,0.07296594204573756,ddml,first_stage,custom_2,NA,NA,workedm,TRUE,observed
Z_resid,0.06958530125673604,0.0018340137792014718,37.94153677898397,4.0500938216e-314,0.06599068321707988,0.0731799192963922,ddml,first_stage,custom_3,NA,NA,workedm,TRUE,observed
Z_resid,0.06973120207972132,0.0018331740987381157,38.03850497763497,1.036373047e-315,0.06613822979135414,0.0733241743680885,ddml,first_stage,custom_4,NA,NA,workedm,TRUE,observed
fit_morekids,-0.11831589689676109,0.02766768866401284,-4.276320235258889,1.9007693593751172e-5,-0.17254382796792475,-0.06408796582559742,tsls,structural,ols,NA,NA,workedm,FALSE,observed
instr,0.06933013824667378,0.001842758789669698,37.62301318834069,6.43470909770757e-309,0.06571838021944955,0.07294189627389801,tsls,first_stage,ols,NA,NA,workedm,FALSE,observed
D1,-0.46698042297323095,0.31889043717486976,-1.4643914289507314,NA,-1.0920056798359756,0.15804483388951374,ddml,structural,nnls,-1.4643914289507314,0.14308702864219358,workedm,FALSE,observed
D1,-0.41150335194866877,5.45333623417867,-0.07545900972868318,NA,-11.100042370938862,10.277035667041524,ddml,structural,custom_1,-0.07545900972868318,0.9398495100112606,workedm,FALSE,observed
D1,-0.45639235128224537,0.4393765526240715,-1.0387271431680891,NA,-1.3175703944254256,0.40478569186093477,ddml,structural,custom_2,-1.0387271431680891,0.29893165374767017,workedm,FALSE,observed
D1,-0.44810146016890373,0.173301232937353,-2.5856795856200794,NA,-0.7877718767261156,-0.10843104361169187,ddml,structural,custom_3,-2.5856795856200794,0.009718722943559466,workedm,FALSE,observed
D1,-0.6489964302229395,0.45940994909046773,-1.4126738689656417,NA,-1.5494399304402564,0.25144706999437727,ddml,structural,custom_4,-1.4126738689656417,0.15775163827714683,workedm,FALSE,observed
Z_resid,946.3422178337278,278.32073619144035,3.400185810024572,6.735040331150423e-4,400.8410059727496,1491.843429694706,ddml,first_stage,nnls,NA,NA,workedm,FALSE,observed
Z_resid,0.011675036967652203,0.05950842601344035,0.19619132532618697,0.8444605740588607,-0.1049598891628336,0.128309963098138,ddml,first_stage,custom_1,NA,NA,workedm,FALSE,observed
Z_resid,0.05808200782467493,0.02344209092148591,2.4776803408538832,0.01322459964618761,0.0121361355148593,0.10402788013449056,ddml,first_stage,custom_2,NA,NA,workedm,FALSE,observed
Z_resid,1.7427687196275716,0.2792734976376526,6.240365571275052,4.372328459247464e-10,1.1954001207704419,2.2901373184847014,ddml,first_stage,custom_3,NA,NA,workedm,FALSE,observed
Z_resid,368.5184142245743,147.05294072807652,2.506025465386792,0.012210301092921545,80.29857666382054,656.7382517853281,ddml,first_stage,custom_4,NA,NA,workedm,FALSE,observed
fit_morekids,-1.6133015754052487,1.277581890246422,-1.2627774295501892,0.20667033458085818,-4.117327969636103,0.8907248188256061,tsls,structural,ols,NA,NA,workedm,TRUE,fake
instr,-0.004462536273826375,0.003191056611923217,-1.3984509886638616,0.16197889851002978,-0.010716922033943404,0.0017918494862906543,tsls,first_stage,ols,NA,NA,workedm,TRUE,fake
D1,-1.5825020929827542,1.3138888385860867,-1.2044413853806155,NA,-4.157724216611484,0.9927200306459758,ddml,structural,nnls,-1.2044413853806155,0.22841902431960612,workedm,TRUE,fake
D1,-1.7199508257224234,1.4230580641929862,-1.2086301107452033,NA,-4.509144631540677,1.0692429800958296,ddml,structural,custom_1,-1.2086301107452033,0.22680498294625376,workedm,TRUE,fake
D1,1.7218889364331282,1.3629038039670647,1.2633972635641266,NA,-0.9494025193423186,4.393180392208575,ddml,structural,custom_2,1.2633972635641266,0.2064464470791068,workedm,TRUE,fake
D1,-1.838318656395746,1.5267328447385977,-1.2040866630536773,NA,-4.830715032083398,1.1540777192919054,ddml,structural,custom_3,-1.2040866630536773,0.22855608421671822,workedm,TRUE,fake
D1,-1.661340420692189,1.5041806435430176,-1.1044819834797168,NA,-4.609534482036503,1.2868536406521256,ddml,structural,custom_4,-1.1044819834797168,0.2693841146665387,workedm,TRUE,fake
Z_resid,-0.004257923641953813,0.003171509895807555,-1.3425541088748918,0.17941759531311377,-0.01047399835944126,0.001958151075533634,ddml,first_stage,nnls,NA,NA,workedm,TRUE,fake
Z_resid,-0.004157210243584418,0.0031547943095662804,-1.3177436738041883,0.18759065459712285,-0.01034052285833975,0.0020261023711709136,ddml,first_stage,custom_1,NA,NA,workedm,TRUE,fake
Z_resid,0.003574822700059755,0.0022707583400851696,1.5742858396484736,0.11542262423923183,-8.75803017988985e-4,0.008025448418108495,ddml,first_stage,custom_2,NA,NA,workedm,TRUE,fake
Z_resid,-0.0040746536283508905,0.003145328218103175,-1.295462141247744,0.19516202758872236,-0.010239412956580138,0.002090105699878356,ddml,first_stage,custom_3,NA,NA,workedm,TRUE,fake
Z_resid,-0.0038581944055056548,0.0031730720651385316,-1.2159176741979265,0.2240174117175614,-0.010077330933172396,0.0023609421221610872,ddml,first_stage,custom_4,NA,NA,workedm,TRUE,fake
fit_morekids,-1.6133015754052487,1.277581890246422,-1.2627774295501892,0.20667033458085818,-4.117327969636103,0.8907248188256061,tsls,structural,ols,NA,NA,workedm,FALSE,fake
